function,size,cache_lines,overlap_point,loop_point,loop_block_size,accelerator_point,optimized
memcpy_I16_O32_B8_L512_R_noopt,292,4,16,32,8,512,0
memcpy_I16_O32_B8_L512_R_opt,411,6,16,32,8,512,1
memcpy_I16_O32_B8_L1024_R_noopt,292,4,16,32,8,1024,0
memcpy_I16_O32_B8_L1024_R_opt,411,6,16,32,8,1024,1
memcpy_I16_O32_B8_Linf_noopt,286,4,16,32,8,-1,0
memcpy_I16_O32_B8_Linf_opt,405,6,16,32,8,-1,1
memcpy_I16_O64_R_noopt,267,4,16,64,0,64,0
memcpy_I16_O64_R_opt,385,6,16,64,0,64,1
memcpy_I16_O64_B8_L128_R_noopt,328,5,16,64,8,128,0
memcpy_I16_O64_B8_L128_R_opt,473,7,16,64,8,128,1
memcpy_I16_O64_B8_L256_R_noopt,331,5,16,64,8,256,0
memcpy_I16_O64_B8_L256_R_opt,452,7,16,64,8,256,1
memcpy_I16_O64_B8_L512_R_noopt,331,5,16,64,8,512,0
memcpy_I16_O64_B8_L512_R_opt,452,7,16,64,8,512,1
memcpy_I16_O64_B8_L1024_R_noopt,331,5,16,64,8,1024,0
memcpy_I16_O64_B8_L1024_R_opt,452,7,16,64,8,1024,1
memcpy_I16_O64_B8_Linf_noopt,318,4,16,64,8,-1,0
memcpy_I16_O64_B8_Linf_opt,440,6,16,64,8,-1,1
memcpy_I16_O64_B16_L128_R_noopt,339,5,16,64,16,128,0
memcpy_I16_O64_B16_L128_R_opt,484,7,16,64,16,128,1
memcpy_I16_O64_B16_L256_R_noopt,342,5,16,64,16,256,0
memcpy_I16_O64_B16_L256_R_opt,463,7,16,64,16,256,1
memcpy_I16_O64_B16_L512_R_noopt,342,5,16,64,16,512,0
memcpy_I16_O64_B16_L512_R_opt,463,7,16,64,16,512,1
memcpy_I16_O64_B16_L1024_R_noopt,342,5,16,64,16,1024,0
memcpy_I16_O64_B16_L1024_R_opt,463,7,16,64,16,1024,1
memcpy_I16_O64_B16_Linf_noopt,329,5,16,64,16,-1,0
memcpy_I16_O64_B16_Linf_opt,451,7,16,64,16,-1,1
memcpy_I16_O128_R_noopt,345,5,16,128,0,128,0
memcpy_I16_O128_R_opt,490,7,16,128,0,128,1
memcpy_I16_O128_B8_L256_R_noopt,408,6,16,128,8,256,0
memcpy_I16_O128_B8_L256_R_opt,569,8,16,128,8,256,1
memcpy_I16_O128_B8_L512_R_noopt,408,6,16,128,8,512,0
memcpy_I16_O128_B8_L512_R_opt,569,8,16,128,8,512,1
memcpy_I16_O128_B8_L1024_R_noopt,408,6,16,128,8,1024,0
memcpy_I16_O128_B8_L1024_R_opt,569,8,16,128,8,1024,1
memcpy_I16_O128_B8_Linf_noopt,393,6,16,128,8,-1,0
memcpy_I16_O128_B8_Linf_opt,547,8,16,128,8,-1,1
memcpy_I16_O128_B16_L256_R_noopt,426,6,16,128,16,256,0
memcpy_I16_O128_B16_L256_R_opt,587,9,16,128,16,256,1
memcpy_I16_O128_B16_L512_R_noopt,426,6,16,128,16,512,0
memcpy_I16_O128_B16_L512_R_opt,587,9,16,128,16,512,1
memcpy_I16_O128_B16_L1024_R_noopt,426,6,16,128,16,1024,0
memcpy_I16_O128_B16_L1024_R_opt,587,9,16,128,16,1024,1
memcpy_I16_O128_B16_Linf_noopt,410,6,16,128,16,-1,0
memcpy_I16_O128_B16_Linf_opt,577,9,16,128,16,-1,1
memcpy_I16_O128_B32_L256_R_noopt,442,6,16,128,32,256,0
memcpy_I16_O128_B32_L256_R_opt,603,9,16,128,32,256,1
memcpy_I16_O128_B32_L512_R_noopt,442,6,16,128,32,512,0
memcpy_I16_O128_B32_L512_R_opt,603,9,16,128,32,512,1
memcpy_I16_O128_B32_L1024_R_noopt,442,6,16,128,32,1024,0
memcpy_I16_O128_B32_L1024_R_opt,603,9,16,128,32,1024,1
memcpy_I16_O128_B32_Linf_noopt,426,6,16,128,32,-1,0
memcpy_I16_O128_B32_Linf_opt,585,9,16,128,32,-1,1
memcpy_I16_O256_R_noopt,501,7,16,256,0,256,0
memcpy_I16_O256_R_opt,658,10,16,256,0,256,1
memcpy_I16_O256_B8_L512_R_noopt,564,8,16,256,8,512,0
memcpy_I16_O256_B8_L512_R_opt,725,11,16,256,8,512,1
memcpy_I16_O256_B8_L1024_R_noopt,564,8,16,256,8,1024,0
memcpy_I16_O256_B8_L1024_R_opt,725,11,16,256,8,1024,1
memcpy_I16_O256_B8_Linf_noopt,549,8,16,256,8,-1,0
memcpy_I16_O256_B8_Linf_opt,706,11,16,256,8,-1,1
memcpy_I16_O256_B16_L512_R_noopt,582,9,16,256,16,512,0
memcpy_I16_O256_B16_L512_R_opt,754,11,16,256,16,512,1
memcpy_I16_O256_B16_L1024_R_noopt,582,9,16,256,16,1024,0
memcpy_I16_O256_B16_L1024_R_opt,754,11,16,256,16,1024,1
memcpy_I16_O256_B16_Linf_noopt,566,8,16,256,16,-1,0
memcpy_I16_O256_B16_Linf_opt,739,11,16,256,16,-1,1
memcpy_I16_O256_B32_L512_R_noopt,598,9,16,256,32,512,0
memcpy_I16_O256_B32_L512_R_opt,774,12,16,256,32,512,1
memcpy_I16_O256_B32_L1024_R_noopt,598,9,16,256,32,1024,0
memcpy_I16_O256_B32_L1024_R_opt,774,12,16,256,32,1024,1
memcpy_I16_O256_B32_Linf_noopt,582,9,16,256,32,-1,0
memcpy_I16_O256_B32_Linf_opt,755,11,16,256,32,-1,1
memcpy_I16_O256_B64_L512_R_noopt,630,9,16,256,64,512,0
memcpy_I16_O256_B64_L512_R_opt,806,12,16,256,64,512,1
memcpy_I16_O256_B64_L1024_R_noopt,630,9,16,256,64,1024,0
memcpy_I16_O256_B64_L1024_R_opt,806,12,16,256,64,1024,1
memcpy_I16_O256_B64_Linf_noopt,615,9,16,256,64,-1,0
memcpy_I16_O256_B64_Linf_opt,787,12,16,256,64,-1,1
glibc,0,0,0,0,0,0,0
aor,0,0,0,0,0,0,0
